test_date,specimen,replicate,force_N,line_current_A,power_min_W,power_max_W,ct
2026-08-28,Unknown-Si-Steel,1,0,5.2,0,0,Silicone steel core
2026-08-28,Unknown-Si-Steel,1,0,100.4,0,0,Silicone steel core
2026-08-28,Unknown-Si-Steel,1,5,5.2,0.06,0.06,Silicone steel core
2026-08-28,Unknown-Si-Steel,1,5,100.4,2.1,2.3,Silicone steel core
2026-08-28,Unknown-Si-Steel,1,10,5.2,0.06,0.06,Silicone steel core
2026-08-28,Unknown-Si-Steel,1,10,100.4,2.1,2.3,Silicone steel core
2026-08-28,Unknown-Si-Steel,1,15,5.2,0.06,0.06,Silicone steel core
2026-08-28,Unknown-Si-Steel,1,15,100.4,2.1,2.3,Silicone steel core
2026-08-28,Unknown-Si-Steel,1,20,5.2,0.07,0.07,Silicone steel core
2026-08-28,Unknown-Si-Steel,1,20,100.4,2.1,2.3,Silicone steel core
2026-08-28,Unknown-Si-Steel,1,25,5.2,0.07,0.07,Silicone steel core
2026-08-28,Unknown-Si-Steel,1,25,100.4,2.1,2.3,Silicone steel core
2026-08-28,Unknown-Si-Steel,1,30,5.2,0.07,0.07,Silicone steel core
2026-08-28,Unknown-Si-Steel,1,30,100.4,2.1,2.3,Silicone steel core
