test_date,specimen_id,replicate,force_N,line_current_A,output_uA,load_V
2026-09-08,B57322,1,0,5,15190,5
2026-09-08,B57322,1,1,5,15500,5
2026-09-08,B57322,1,5,5,15630,5
2026-09-08,B57322,1,10,5,15810,5
2026-09-08,B57322,1,20,5,16020,5
2026-09-08,B57322,1,50,5,16610,5
2026-09-08,B57322,1,100,5,16730,5
2026-09-08,B57322,1,150,5,17250,5
2026-09-08,B57322,1,200,5,17650,5
2026-09-08,B57322,1,250,5,17800,5
2026-09-08,B57322,1,300,5,17890,5
2026-09-08,B57322,1,350,5,18040,5
2026-09-08,B57322,1,400,5,18260,5
2026-09-08,B57321,1,0,5,19200,5
2026-09-08,B57321,1,1,5,18900,5
2026-09-08,B57321,1,5,5,18990,5
2026-09-08,B57321,1,10,5,18790,5
2026-09-08,B57321,1,20,5,19060,5
2026-09-08,B57321,1,50,5,19130,5
2026-09-08,B57321,1,100,5,19320,5
2026-09-08,B57321,1,150,5,19460,5
2026-09-08,B57321,1,200,5,19520,5
2026-09-08,B57321,1,250,5,19410,5
2026-09-08,B57321,1,300,5,19510,5
2026-09-08,B57321,1,350,5,19650,5
2026-09-08,B57321,1,400,5,19740,5
2026-09-08,N9903,1,0,5,18440,5
2026-09-08,N9903,1,1,5,18580,5
2026-09-08,N9903,1,5,5,18880,5
2026-09-08,N9903,1,10,5,18880,5
2026-09-08,N9903,1,20,5,18910,5
2026-09-08,N9903,1,50,5,18990,5
2026-09-08,N9903,1,100,5,19060,5
2026-09-08,N9903,1,150,5,19030,5
2026-09-08,N9903,1,200,5,19090,5
2026-09-08,N9903,1,250,5,19150,5
2026-09-08,N9903,1,300,5,19510,5
2026-09-08,N9903,1,350,5,19400,5
2026-09-08,N9903,1,400,5,19360,5
